business_name,zip,address_clean,city_clean,state_clean,cluster_id,link_score,source_file
Harrelson Trumpets,80221,5650 Lowell Blvd Units B u0026 F,Denver,Colorado,332,0.62627375,0
Metalcraft Industries Inc.,80234,1250 W 124th Ave,Westminster,Colorado,176,0.76256305,0
Chemical Specialties Inc,80216,4920 Fox St,Denver,Colorado,95,0.81513566,0
The UPS Store,80211,2921 W 38th Ave,Denver,Colorado,56,0.8517248,0
Barone Inc,80002,5879 W 58th Ave,Arvada,Colorado,144,0.78320736,0
Red Arrow Manufacturing,80229,1761 E 64th Ave,Denver,Colorado,231,0.7179901,0
Spinster Sisters Co. - Microsoapery (Manufacturing & Order Fulfillment),80401,516 Violet St,Golden,Colorado,195,0.746651,0
Bison Innovative Products,80204,701 Osage St Ste 120,Denver,Colorado,89,0.8198291,0
Rocky Mountain Commissary,80002,5604 Kendall Ct,Arvada,Colorado,291,0.6610976,0
US Mix Co.,80223,112 S Santa Fe Dr,Denver,Colorado,253,0.69685155,0
R & M Manufacturing Inc,80022,6025 E 76th Ave A,Commerce City,Colorado,229,0.718654,0
Featherbuilt,80212,5371 Tennyson St #10,Denver,Colorado,256,0.69384146,0
Gregory Bloom,80203,789 Sherman St,Denver,Colorado,282,0.66960996,0
Aspen Electronics Manufacturing Inc.,80031,8975 Marshall Ct #100,Westminster,Colorado,335,0.6238849,0
Synergy Core Manufacturing,80239,4880 Ironton St H,Denver,Colorado,302,0.646496,0
"Custom Tableting, LLC.",80002,6260 W 52nd Ave #104,Arvada,Colorado,198,0.744454,0
3Aclean,80214,6006 W 16th Ave,Lakewood,Colorado,15,0.89529437,0
Bierstadt Lagerhaus,80205,2875 Blake St,Denver,Colorado,169,0.7707861,0
Henriksen Amplifiers,80002,5545 W 56th Ave UNIT F,Arvada,Colorado,238,0.7119838,0
LTM Plastics,80211,1100 W 45th Ave,Denver,Colorado,329,0.6282459,0
Schafer Metals,80223,1245 S Inca St,Denver,Colorado,199,0.74391395,0
Five Star Chemicals & Supply LLC,80002,6870 W 52nd Pl Suite #205,Arvada,Colorado,218,0.7281275,0
Seader Custom Metal Works,80216,401 W 43rd Ave,Denver,Colorado,113,0.80516887,0
Bron Tapes,80223,875 W Ellsworth Ave,Denver,Colorado,309,0.6421338,0
Karl Schmidt Mfg,80022,3900 E 68th Ave,Commerce City,Colorado,82,0.82596594,0
ORIC CORPORATION,80202,1600 Broadway #1600,Denver,Colorado,243,0.7050503,0
FMC Technologies Surface Wellhead,80202,475 17th St UNIT 850,Denver,Colorado,244,0.70472425,0
Harrow Sports,80223,600 W Bayaud Ave,Denver,Colorado,240,0.7074209,0
Heilan Coo,80210,1551 S Pearl St,Denver,Colorado,98,0.8140981,0
Fabrications Unlimited,80002,5440 Marshall St Ste 4,Arvada,Colorado,255,0.69487554,0
Burns Family Artisan Ales Production Facility,80219,2505 W 2nd Ave #13,Denver,Colorado,163,0.7737301,0
Oribi Composites,80022,5850 E 56th Ave,Commerce City,Colorado,124,0.79393214,0
Victrola,80205,3350 Walnut St,Denver,Colorado,287,0.6660962,0
Molitron,80214,1457 Ammons St,Lakewood,Colorado,78,0.8278459,0
Cains Creative Cakes,80219,194 S Federal Blvd,Denver,Colorado,346,0.61739004,0
Denver Beverage,80216,353 W 56th Ave,Denver,Colorado,93,0.81623816,0
"Ruger Trailers, LLC",80003,5415 W 59th Ave e,Arvada,Colorado,162,0.7740812,0
Busick Insulated Glass Inc,80204,585 Osage St,Denver,Colorado,202,0.7404006,0
Office Depot Print & Copy Services,80209,343 S Broadway,Denver,Colorado,289,0.66368145,0
Liberty Home Products,80223,358 S Navajo St,Denver,Colorado,193,0.75174934,0
EFI Polymers,80216,4600 Holly St,Denver,Colorado,261,0.6860386,0
Livingston Systems,80221,2613 W 64th Ave,Denver,Colorado,36,0.86427003,0
"Zimmerman Metals, Inc.",80216,201 E 58th Ave,Denver,Colorado,120,0.7990769,0
Bon-nare,80220,4600 Hale Pkwy # 450,Denver,Colorado,35,0.8657441,0
Ready Foods,80216,4000 Dahlia St,Denver,Colorado,306,0.6449364,0
Regional Sales Co,80002,5545 W 56th Ave,Arvada,Colorado,114,0.8045356,0
Rocky Mountain Food Factory,80110,2825 S Raritan St,Englewood,Colorado,271,0.6742891,0
Ready Foods,80216,5905 E 42nd Ave,Denver,Colorado,284,0.667958,0
Green Sol Chemical Corporation,80216,4770 Fox St #13,Denver,Colorado,6,0.9089958,0
Vartega,80221,5675 N Pecos St #203,Denver,Colorado,330,0.6273032,0
Heeger Materials Inc,80206,230 Steele St,Denver,Colorado,328,0.6284508,0
A & P Machine Work & Design,80002,5585 Gray St,Arvada,Colorado,249,0.6985222,0
"Rylind Manufacturing, Inc",80401,2801 Youngfield St,Golden,Colorado,300,0.64886385,0
"American Made Apparel Manufacturing., Inc.",80011,15607 E 17th Ave,Aurora,Colorado,29,0.8692175,0
"Pre Action Fire, Inc",80211,2921 W 38th Ave,Denver,Colorado,28,0.8711126,0
Boykin Pearce Associates,80205,1875 E 27th Ave,Denver,Colorado,58,0.8494979,0
Gates & Sons Inc,80223,90 S Fox St,Denver,Colorado,11,0.89902216,0
"Aveno Antiguo, Inc",80216,5140 Race Ct STE 3,Denver,Colorado,32,0.86779696,0
"Proximo Distillers, Llc",80223,200 S Kalamath St,Denver,Colorado,246,0.7009654,0
Milgard Windows & Doors,80216,400 W 48th Ave,Denver,Colorado,298,0.6504235,0
Thera Cane Company,80223,1147 S Huron St,Denver,Colorado,59,0.8490316,0
RKR,80216,4600 Grape St,Denver,Colorado,76,0.8294053,0
303 Bike Shop - eBike Dealer Too,80033,6190 W 38th Ave,Wheat Ridge,Colorado,237,0.71240485,0
American Tech Support,80206,2500 E 1st Ave,Denver,Colorado,107,0.80799407,0
Crazy Mountain Brewery,80218,1505 N Ogden St,Denver,Colorado,267,0.67692506,0
Naviswiss US,80216,3513 Brighton Blvd suite 422,Denver,Colorado,312,0.63862365,0
Paramount Fabrics Inc,80003,5570 W 60th Ave,Arvada,Colorado,97,0.8143154,0
Senvion USA Corporation,80202,1600 Stout St UNIT 2000,Denver,Colorado,140,0.7863439,0
Wheat Ridge Poultry and Meats,80214,5650 W 29th Ave,Wheat Ridge,Colorado,209,0.73234856,0
Glue Bunny Games,80204,3015 W 9th Ave,Denver,Colorado,355,0.6077356,0
Millie Rose Ceramics,80211,4172 Irving St,Denver,Colorado,326,0.62854534,0
Denver Digital Imaging Center,80223,145 W Alameda Ave,Denver,Colorado,286,0.6670652,0
Mars Steel Corporation,80022,3400 E 56th Ave,Commerce City,Colorado,317,0.63496107,0
"Nestle Purina - Denver, CO",80216,4555 York St,Denver,Colorado,333,0.62610614,0
"RECOM Power, Inc.",80216,3575 Ringsby Ct #426,Denver,Colorado,157,0.77671075,0
Electronica,80206,2828 E Colfax Ave,Denver,Colorado,262,0.6847693,0
"Boker USA, Inc.",80214,1550 Balsam St,Lakewood,Colorado,118,0.8035181,0
praxis guitars LLC,80223,1190 S Cherokee St Unit #3,Denver,Colorado,307,0.6448574,0
"Mallinda, Inc.",80229,7270 Gilpin Way #180,Denver,Colorado,151,0.7791007,0
ABM Fabrication & Machining,80003,5880 W 59th Ave Unit D,Arvada,Colorado,100,0.8130897,0
Neocom Promo LLC,80206,1633 Fillmore St Suite 404,Denver,Colorado,115,0.8044395,0
The Real Dill,80223,33 S Fox St,Denver,Colorado,2,0.9247185,0
Aviva Inc,80209,3200 Cherry Creek S Dr # 210,Denver,Colorado,182,0.7579059,0
Ram Grinding,80002,5635 Newland Way,Arvada,Colorado,331,0.627106,0
Ralph's Industrial Sewing Machine Co,80211,2030 Clay St,Denver,Colorado,42,0.8618282,0
Precision Metal Manufacturing Inc,80233,11060 Irma Dr,Northglenn,Colorado,105,0.81076086,0
SomePlace Else Brewery,80002,6425 W 52nd Ave #6,Arvada,Colorado,185,0.75622207,0
Child Safe Childproofing,80209,225 S Broadway #9204,Denver,Colorado,129,0.7916019,0
Mount Sopris Instruments Inc.,80216,4975 E 41st Ave,Denver,Colorado,112,0.8053612,0
Update International,80226,1075 S Yukon St,Lakewood,Colorado,20,0.87958807,0
Safeway,80209,323 S Broadway,Denver,Colorado,186,0.75606173,0
Silver Engineering Works,80229,6565 Vine Ct,Denver,Colorado,51,0.8546646,0
HeartHero,80216,3513 Brighton Blvd Ste. 560,Denver,Colorado,340,0.62223417,0
Intoxalock Ignition Interlock,80214,6275 W 16th Ave,Lakewood,Colorado,327,0.62852865,0
Aztec Rug Binding,80204,1957 W 14th Ave,Denver,Colorado,68,0.8349292,0
Rocky Mountain Laserwork,80219,645 S Bryant St,Denver,Colorado,349,0.6110866,0
Bag Factory Lofts HOA,80205,2715 Blake St,Denver,Colorado,266,0.6769387,0
Gray Solutions,80205,3851 Steele St #1379,Denver,Colorado,181,0.7589011,0
Pints Pub,80204,221 W 13th Ave,Denver,Colorado,168,0.77105707,0
Hydraflex,80204,1330 Zuni St H,Denver,Colorado,17,0.8902671,0
Industrial Arts LLC,80110,2165 S Raritan St,Englewood,Colorado,294,0.6533779,0
Site Pieces,80205,3000 Lawrence St #57,Denver,Colorado,206,0.7371234,0
Cedar Hills Screenprinting & Embroidery,80206,3225 E Colfax Ave,Denver,Colorado,189,0.75385153,0
Ink Monstr Graphics and Wraps,80204,2721 W Holden Pl,Denver,Colorado,37,0.86424416,0
Greens Gone Wild,80246,501 S Cherry St Ste 1100,Denver,Colorado,49,0.8579921,0
"ViewRay, Inc.",80202,1099 18th St UNIT 3000,Denver,Colorado,301,0.64655894,0
Flink Supply Co,80223,58 S Galapago St,Denver,Colorado,285,0.66784513,0
Owens Corning Denver Roofing Plant,80216,5201 Fox St,Denver,Colorado,226,0.71914,0
The Duck Company,80002,5601 Gray St Unit A,Arvada,Colorado,10,0.9028085,0
Ingenious Moves,80209,40 S Broadway #204,Denver,Colorado,354,0.60820436,0
Secure All Security Doors,80212,4300 W 38th Ave,Denver,Colorado,109,0.8067153,0
"Aspen Laser Systems, LLC",80202,600 17th St Suite 2800,Denver,Colorado,25,0.8727322,0
Sleeping Giant Brewing Company,80204,2500 W 5th Ave,Denver,Colorado,135,0.7894129,0
Republic Manufacturing (formerly Joost Industrial),80239,5500 Joliet St,Denver,Colorado,183,0.7578685,0
Arthroventions,80204,621 Kalamath St #40,Denver,Colorado,275,0.6733086,0
Wibtech Outdoors,80216,321 W 45th Ave,Denver,Colorado,101,0.812113,0
Dahl Design Denver - Showroom by Appt. Only,80223,280 S Santa Fe Dr,Denver,Colorado,99,0.81367296,0
Never Summer Industries,80207,3838 Eudora Way,Denver,Colorado,295,0.6528002,0
Solutions Machining,80003,6060 W 59th Ave,Arvada,Colorado,171,0.7672195,0
Cipher Skin,80202,1331 17th St,Denver,Colorado,41,0.861925,0
Unowned By Bear,80219,2620 W 2nd Ave # 2,Denver,Colorado,273,0.67373836,0
Dá¾¹LYTE Skylights,80216,290 E 56th Ave,Denver,Colorado,215,0.72925955,0
Direct Polymers,80216,3601 E 44th Ave,Denver,Colorado,87,0.82201564,0
Colorado Wine Tours,80202,1660 Champa St,Denver,Colorado,252,0.69722825,0
Navajo Incorporated,80216,5330 Fox St,Denver,Colorado,13,0.898832,0
Maglin Corporation,80202,999 18th St UNIT 3000,Denver,Colorado,121,0.79888076,0
PrintWithMe Print Kiosk at Bardo Coffeehouse - Wheat Ridge,80033,6150 W 38th Ave,Wheat Ridge,Colorado,351,0.6102978,0
Barber-Nichols,80002,6350 W 56th Ave,Arvada,Colorado,259,0.6880733,0
"YellowDog Design, Print and Marketing",80205,3881 Steele St Ste 1242,Denver,Colorado,62,0.8455561,0
Kustomized,80226,7251 W Alaska Dr,Lakewood,Colorado,70,0.8335863,0
Integrity Fire Safety Services,80219,2695 W 3rd Ave,Denver,Colorado,130,0.7915723,0
V16 Guitars,80212,4209 W 38th Ave,Denver,Colorado,236,0.713013,0
Brekhus Tile & Stone,80223,860 S Jason St,Denver,Colorado,57,0.85111815,0
Talnua Distillery,80002,5405 W 56th Ave Unit C,Arvada,Colorado,126,0.79375434,0
iKrusher | Wholesale Vape Hardware Manufacturer,80120,791 Southpark Dr STE 600,Littleton,Colorado,136,0.7878596,0
Denver Portable Toilet Rental PotPoint,80203,1645 Grant St,Denver,Colorado,239,0.7089495,0
Columbine Paper & Maintenance,80214,1300 N Lamar St,Lakewood,Colorado,245,0.7046228,0
"Copeland Precast, Inc.",80223,904 S Lipan St,Denver,Colorado,45,0.8592273,0
Kohler Signature Store,80206,3310 E 1st Ave,Denver,Colorado,207,0.73573434,0
ClearView Water - Denver Water Cooler Service Office,80206,1627 Vine St,Denver,Colorado,14,0.8970897,0
REI,80202,1416 Platte St,Denver,Colorado,352,0.6096636,0
Hook Fish,80211,4400 Lipan St,Denver,Colorado,251,0.6973557,0
Whisk it Here,80211,2832 W 44th Ave,Denver,Colorado,161,0.7744778,0
The Blind Tiger Lounge,80205,3040 Blake St #131,Denver,Colorado,167,0.77146256,0
K1C Consulting LLC,80204,621 Kalamath St #67,Denver,Colorado,347,0.6167047,0
Advanced Cylinders Manufacturing & Repair Inc.,80110,3295 S Zuni St,Sheridan,Colorado,1,0.93180263,0
Sportique Scooters,80209,160 S Broadway,Denver,Colorado,358,0.60111344,0
Zodiac Event Displays,80211,4400 Lipan St,Denver,Colorado,320,0.63200986,0
Salco Global Precision Machining,80003,5955 Sheridan Boulevard,Arvada,Colorado,247,0.7005338,0
SEGRITY LLC,80205,2650 E 40th Ave,Denver,Colorado,3,0.9218771,0
"Denver Print Company - Banner Printing, Signs and Trade Show Printing",80204,1045 W 8th Ave,Denver,Colorado,84,0.8239972,0
Uinta Development Company,80202,1099 18th St #1800,Denver,Colorado,248,0.6992554,0
Component Distributors Inc. (CDI),80216,4770 Forest St # C,Denver,Colorado,148,0.7799803,0
"Hydraquip, Inc.",80216,4160 Fox St,Denver,Colorado,280,0.6703328,0
Chris Meinert Carpentry,80033,6700 W 44th Ave,Denver,Colorado,274,0.67348117,0
Foothills Custom Cabinet,80002,6262 W 55th Ave,Arvada,Colorado,106,0.80839777,0
FedEx Office Print & Ship Center,80202,1550 Court Pl,Denver,Colorado,69,0.8341283,0
Bonacquisti Wine Company,80211,4640 N Pecos St Unit I,Denver,Colorado,356,0.60550785,0
RSG OFFROAD,80215,9680 W Colfax Ave,Lakewood,Colorado,91,0.8175232,0
Carniceria La Sierra,80219,3170 W Alameda Ave,Denver,Colorado,338,0.62305474,0
Kendo,80022,5700 Fairfax St,Commerce City,Colorado,257,0.6936878,0
The G Wagon,80229,800 E 73rd Ave,Denver,Colorado,38,0.8641069,0
S & H Products,80003,5891 Nolan St # A,Arvada,Colorado,116,0.80440795,0
Accent Fence and Design,80214,1150 N Harlan St,Lakewood,Colorado,228,0.7187221,0
Summit Brick Company- Showroom,80226,7576 W 5th Ave,Lakewood,Colorado,339,0.62256247,0
"Accurate Powder Coating, LLC",80003,5891 Nolan St #2,Arvada,Colorado,94,0.8160527,0
Actall Corporation,80205,2017 Curtis Street,Denver,Colorado,178,0.76194364,0
Garb Inc,80223,730 S Jason St,Denver,Colorado,16,0.893352,0
Knotty Tie Co.,80204,926 W 10th Ave,Denver,Colorado,88,0.82111907,0
King Soopers,80212,5301 W 38th Ave,Wheat Ridge,Colorado,292,0.6574523,0
Deep Roots Winery & Bistro,80205,2875 Blake St,Denver,Colorado,264,0.6792661,0
Alyve Medical,80246,600 S Cherry St #115,Denver,Colorado,27,0.87163895,0
Gates Corporation,80202,1144 15th St #1400,Denver,Colorado,350,0.6109765,0
WestRock,80216,5050 E 50th Ave,Denver,Colorado,133,0.78990275,0
Metal Roofing Solutions,80033,6225 W 48th Ave,Wheat Ridge,Colorado,227,0.71875787,0
enlightenVue,80206,1111 Race St #6A,Denver,Colorado,34,0.8662253,0
Meier Skis,80210,1775 S Broadway,Denver,Colorado,290,0.661191,0
IDEAL PRINT Co.,80214,747 Sheridan Boulevard Unit 3B,Lakewood,Colorado,201,0.7410929,0
Brewer Digital,80216,3513 Brighton Blvd,Denver,Colorado,311,0.6398476,0
Vortex Doors,80216,6610 E 47th Ave Dr,Denver,Colorado,146,0.78114927,0
Cinegration LLC,80002,6425 W 52nd Ave #1,Arvada,Colorado,52,0.85367405,0
R & M Sales Co Inc,80219,2737 W 2nd Ave,Denver,Colorado,53,0.8533467,0
Hemp Corp,80221,6820 Broadway,Denver,Colorado,173,0.7649383,0
Oliver's Meat Market,80218,1718 E 6th Ave,Denver,Colorado,260,0.68675953,0
Hunter Company - American Made Leather Holsters & Accessories,80030,3300 W 71st Ave,Westminster,Colorado,4,0.9188736,0
Tops of Rockies,80212,5777 W 52nd Ave #7502,Denver,Colorado,269,0.6746018,0
Old Western Paint Co Inc,80204,2001 W Barberry Pl,Denver,Colorado,222,0.72604984,0
Denver Modern Showroom,80205,3857 Steele St #1287,Denver,Colorado,342,0.6216829,0
Fixture Lab,80223,1550 S Acoma St #100,Denver,Colorado,19,0.8804425,0
5 Star Energy,80214,1125 Depew Ct,Lakewood,Colorado,81,0.8260743,0
Artemis Vision,80205,3857 Steele St #1186,Denver,Colorado,213,0.73056984,0
Lakeside Heating & Air Conditioning,80002,6260 W 52nd Ave unit 116,Arvada,Colorado,194,0.7491,0
"Signarama Denver (Downtown), CO",80203,1660 Grant St,Denver,Colorado,337,0.6233495,0
"Rocket Seals, Inc.",80223,1297 S Lipan St,Denver,Colorado,26,0.87264234,0
Simple Interlock,80214,5208 W 26th Ave,Denver,Colorado,254,0.69521314,0
Pro Desk at The Home Depot,80226,6701 W Alameda Ave,Lakewood,Colorado,316,0.6355364,0
Heart Heating Cooling Plumbing & Electric,80204,646 Bryant St,Denver,Colorado,324,0.62981373,0
Sincerely Yours,80206,3113 E 3rd Ave #206,Denver,Colorado,225,0.7226405,0
Advanced Vision Technologies,80226,969 S Kipling Pkwy,Lakewood,Colorado,319,0.6326971,0
DEKOR Lighting,80223,2655 S Santa Fe Dr #4a,Denver,Colorado,63,0.84519297,0
Sherwin-Williams Paint Store,80212,5315 W 38th Ave,Denver,Colorado,325,0.62854683,0
LifeSafer Ignition Interlock,80002,5545 Harlan St,Arvada,Colorado,278,0.6711714,0
High Plateau Truss Inc,80022,5465 Quebec St,Commerce City,Colorado,216,0.728822,0
Pyramid Promotions INC. (DBA) AAA Wholesale Services,80216,4150 Fox St # A5,Denver,Colorado,0,0.9464162,0
Element 79 Contemporary Jewelry,80206,2703 E 3rd Ave,Denver,Colorado,313,0.636586,0
"Lange Containment Systems, LLC",80216,5150 Race Ct,Denver,Colorado,145,0.78293496,0
Sherwin-Williams Commercial Paint Store,80204,543 Santa Fe Dr A,Denver,Colorado,96,0.81473863,0
Renaissance Leather,80223,1474 S Acoma St,Denver,Colorado,47,0.85812056,0
King Soopers,80204,1331 Speer Blvd,Denver,Colorado,265,0.67725587,0
Hoff Miller Ltd,80209,595 S Broadway # 106E,Denver,Colorado,160,0.77459645,0
"TruStile Doors, LLC",80229,1111 E 71st Ave,Denver,Colorado,233,0.7165981,0
Seattle Fish Co.,80216,6211 E 42nd Ave,Denver,Colorado,67,0.8394786,0
Smart Start Ignition Interlock,80214,5208 W 26th Ave,Denver,Colorado,46,0.85821545,0
Envision Automation,80206,44 Cook St #100,Denver,Colorado,61,0.8463312,0
Unique Millwork Cabinetry & Countertops,80002,6100 W 55th Ave,Arvada,Colorado,190,0.7534997,0
Green Vine Marketing,80202,600 17th St #2810,Denver,Colorado,212,0.73079896,0
Reinhardt Studios,80204,1950 W 13th Ave #1,Denver,Colorado,279,0.6711216,0
"ABC Custom Iron & Locksmith, Inc",80204,550 Santa Fe Dr,Denver,Colorado,104,0.8111116,0
Smart Start Ignition Interlock,80211,2930 W 38th Ave,Denver,Colorado,203,0.73970133,0
Your Memory Stix,80204,290 W 12th Ave UNIT 605,Denver,Colorado,187,0.7557712,0
Cloud 9 Weddings & Papers,80204,821 Santa Fe Dr,Denver,Colorado,188,0.7550833,0
Marcone Supply - Wholesale Only,80216,5100 Fox St # A,Denver,Colorado,54,0.85309625,0
Peak Stone Solutions LLC,80002,6390 W 56th Ave,Arvada,Colorado,103,0.8111645,0
Steven Parks Master Goldsmith,80212,5870 W 38th Ave,Wheat Ridge,Colorado,348,0.6150346,0
The Infinite Monkey Theorem,80205,3200 Larimer St,Denver,Colorado,288,0.66502386,0
NightRider Jewelry,80206,3000 E 1st Ave,Denver,Colorado,122,0.79841244,0
The Painted Pixel,80214,7070 W 16th Ave,Lakewood,Colorado,125,0.7938785,0
Da Vinci Designs,80223,1264 S Jason St,Denver,Colorado,24,0.8746134,0
"Golden West Plumbing, Heating, Air Conditioning, and Electrical",80216,4217 Delaware St,Denver,Colorado,357,0.6039199,0
"Freshlook Fireplaces | Gas Fireplace Cleaning Services, Inspection, Installation & Repair Denver, CO",80246,720 S Colorado Blvd,Denver,Colorado,141,0.7856343,0
